,id,timestamp,lat,lon,destination,pattern_id,pattern_distance,trip_id
1089,3255,20191204 19:54:46,40.44167813387784,-80.0027153708718,Downtown,6912,72387,5766
1090,6118,20191204 19:54:46,40.43801814317703,-79.92319595813751,Braddock,6914,25231,6771
1100,6119,20191204 19:54:49,40.42282333374023,-79.88621673583984,Braddock,6914,47451,6767
1103,6439,20191204 19:54:48,40.41139146259853,-79.88000079563686,Braddock Hills Shopping Ctr,6776,45890,6769
1106,3206,20191204 19:54:55,40.444698333740234,-79.94375610351562,Downtown,6912,51732,5768
1120,3311,20191204 19:55:00,40.44153805996509,-80.00249253942611,Downtown,6774,60672,5765
1123,6237,20191204 19:55:08,40.403411865234375,-79.86284637451172,Downtown,6898,3839,5847
1128,3308,20191204 19:55:12,40.43975067138672,-79.99418640136719,Downtown,6774,57645,5767
1131,6342,20191204 19:55:12,40.42690723225222,-79.8911224623858,Downtown,6806,13457,5846
1134,3255,20191204 19:55:16,40.44154682565242,-80.00250422700923,Downtown,6912,72467,5766
1135,6118,20191204 19:55:16,40.438029766082764,-79.92319774627686,Braddock,6914,25235,6771
1137,3308,20191204 19:55:16,40.439903513590494,-79.99420572916667,Downtown,6774,57735,5767
1142,3206,20191204 19:55:18,40.444610595703125,-79.94436271823183,Downtown,6912,51922,5768
1145,6119,20191204 19:55:18,40.422034336970405,-79.88653505765475,Braddock,6914,47881,6767
1146,3308,20191204 19:55:19,40.44020250108507,-79.99436357286241,Downtown,6774,57825,5767
1148,6439,20191204 19:55:19,40.41020202636719,-79.87784576416016,Braddock Hills Shopping Ctr,6776,46591,6769
1157,6439,20191204 19:55:27,40.41008067775417,-79.87752677298882,Braddock Hills Shopping Ctr,6776,46733,6769
1159,6237,20191204 19:55:32,40.40420150756836,-79.86177825927734,Downtown,6898,4254,5847
1161,3255,20191204 19:55:30,40.4412448671129,-80.00172000461154,Downtown,6912,72766,5766
1165,3311,20191204 19:55:31,40.44095102945963,-80.00095246967517,Downtown,6774,61196,5765
1180,6118,20191204 19:55:38,40.43804931640625,-79.92207453801082,Braddock,6914,25587,6771
1185,6342,20191204 19:55:43,40.426920163429386,-79.89111535023835,Downtown,6806,13463,5846
1187,3206,20191204 19:55:48,40.44446541922433,-79.94816927228655,Downtown,6912,53034,5768
